代数, 变异数, 最优个体时间
1,99,31938.0
2,48,31938.0
3,15,31938.0
4,100,31880.0
5,73,31880.0
6,93,31880.0
7,57,31714.0
8,35,31714.0
9,85,31714.0
10,62,31714.0
11,3,31714.0
12,100,31714.0
13,123,31714.0
14,9,31714.0
15,21,31714.0
16,61,31621.0
17,55,31621.0
18,69,31621.0
19,67,31621.0
20,48,31621.0
21,99,31512.0
22,105,31512.0
23,104,31512.0
24,30,31512.0
25,92,31480.0
26,122,31387.0
27,100,31387.0
28,92,31323.0
29,122,31323.0
30,3,31323.0
31,36,31323.0
32,83,31323.0
33,105,31323.0
34,120,31323.0
35,41,31323.0
36,64,31201.0
37,65,31201.0
38,102,31201.0
39,3,31201.0
40,52,31143.0
41,128,31143.0
42,74,31143.0
43,58,30890.0
44,80,30890.0
45,41,30890.0
46,37,30688.0
47,108,30688.0
48,105,30688.0
49,112,30688.0
50,113,30688.0